icd,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative,p_value_holm,p_value_bh
R41,0.057659470137246226,5.652727778888424,1.7051307353900705e-6,38,0.037010059904537096,0.07830888036995534,One Sample t-test,two.sided,3.239748397241134e-5,1.7051307353900706e-5
G40,0.007123241650427822,2.1925322728490415,0.03488798426839113,36,5.34237767718992e-4,0.01371224553313665,One Sample t-test,two.sided,0.5582077482942581,0.13955193707356453
G93,0.08116207184328472,6.897837927718195,4.471200817810696e-8,36,0.05729889721706366,0.10502524646950578,One Sample t-test,two.sided,8.942401635621392e-7,8.942401635621392e-7
H54,-0.0029801024226881333,-1.2171794591727632,0.23191714319407686,34,-0.007955783486044605,0.001995578640668338,One Sample t-test,two.sided,1,0.33131020456296695
G45,5.489071667871917e-4,0.3479214888049708,0.7301774896591892,32,-0.002664712418290508,0.003762526751864891,One Sample t-test,two.sided,1,0.7301774896591892
I67,0.0013072005664284281,0.6617103028250919,0.5126169134051652,34,-0.0027074734719828844,0.005321874604839741,One Sample t-test,two.sided,1,0.5695743482279614
I61,0.0017159524832748316,1.6065275947678033,0.12180139922758396,23,-4.936069262272488e-4,0.003925511892776912,One Sample t-test,two.sided,1,0.2601100405523074
R27,7.655104233847252e-4,0.7878874225616097,0.4376253242692506,27,-0.0012280455116469703,0.002759066358416421,One Sample t-test,two.sided,1,0.5470316553365633
I60,0.0016073333882879333,1.5388275665859072,0.1403347788743639,19,-5.788683137027261e-4,0.0037935350902785926,One Sample t-test,two.sided,1,0.2601100405523074
G46,-9.250637048264054e-4,-0.8997174395020358,0.3789764201627417,20,-0.0030697915826457113,0.0012196641729929007,One Sample t-test,two.sided,1,0.5053018935503222
M60,3.8449757024152753e-4,1.8135181291548068,0.08557972716183525,19,-5.9260146011425835e-5,8.282552864944809e-4,One Sample t-test,two.sided,1,0.2601100405523074
F29,5.728641738132111e-4,0.667391091397624,0.5104029891072512,26,-0.0011915273333477953,0.0023372556809742174,One Sample t-test,two.sided,1,0.5695743482279614
I62,0.0013308158101071972,1.339143370581049,0.19257329280176988,25,-7.159153523225084e-4,0.0033775469725369025,One Sample t-test,two.sided,1,0.29626660431041524
G61,5.384433146517127e-4,1.5277132376012845,0.1430605223037691,19,-1.9924408751472976e-4,0.0012761307168181548,One Sample t-test,two.sided,1,0.2601100405523074
R42,-0.009143411813560669,-1.336059800740942,0.18968945424858003,37,-0.02300979121718748,0.004722967590066143,One Sample t-test,two.sided,1,0.29626660431041524
G03,5.507027058269064e-4,1.5627432627469602,0.1421201582525617,13,-2.106001217446739e-4,0.0013120055333984868,One Sample t-test,two.sided,1,0.2601100405523074
G72,0.006765707485068373,2.589920719465706,0.014331958931694564,32,0.0014445812185947017,0.012086833751542044,One Sample t-test,two.sided,0.25797526077050215,0.09554639287796377
G04,0.0016543639574652916,2.3419611163767184,0.030882166377402452,18,1.7027027353747818e-4,0.003138457641393105,One Sample t-test,two.sided,0.5249968284158417,0.13955193707356453
G44,8.043270440201011e-4,0.46183773755700436,0.6476436304182214,29,-0.002757602565934826,0.004366256653975028,One Sample t-test,two.sided,1,0.6817301372823382
R43,0.008093910161306958,1.5165760268916673,0.14019985210051772,29,-0.002821404791015289,0.019009225113629208,One Sample t-test,two.sided,1,0.2601100405523074
G65,0,NA,NA,4,NA,NA,One Sample t-test,two.sided,NA,NA
